"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","108.9","","","","1"
"2006-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","108.5","","","","1"
"2006-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","108.6","","","","1"
"2006-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","109.1","","","","1"
"2006-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","109.2","","","","1"
"2006-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","109.1","","","","1"
"2006-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","109.2","","","","1"
"2006-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","109.4","","","","1"
"2006-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","109.0","","","","1"
"2006-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","109.1","","","","1"
"2006-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","109.5","","","","1"
"2006-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","109.9","","","","1"
"2007-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","110.2","","","","1"
"2007-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","110.6","","","","1"
"2007-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","111.2","","","","1"
"2007-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","111.5","","","","1"
"2007-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","111.5","","","","1"
"2007-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","111.3","","","","1"
"2007-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","111.4","","","","1"
"2007-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","111.3","","","","1"
"2007-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","111.7","","","","1"
"2007-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","111.9","","","","1"
"2007-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","112.2","","","","1"
"2007-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","112.6","","","","1"
"2008-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","112.4","","","","1"
"2008-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","112.6","","","","1"
"2008-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","112.8","","","","1"
"2008-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","113.3","","","","1"
"2008-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","114.1","","","","1"
"2008-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","114.9","","","","1"
"2008-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","115.4","","","","1"
"2008-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","115.4","","","","1"
"2008-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","115.5","","","","1"
"2008-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","114.7","","","","1"
"2008-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","114.3","","","","1"
"2008-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","113.9","","","","1"
"2009-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","113.7","","","","1"
"2009-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","114.1","","","","1"
"2009-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","114.0","","","","1"
"2009-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","113.7","","","","1"
"2009-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","114.2","","","","1"
"2009-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","114.7","","","","1"
"2009-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","114.3","","","","1"
"2009-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","114.5","","","","1"
"2009-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","114.6","","","","1"
"2009-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","114.8","","","","1"
"2009-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","115.4","","","","1"
"2009-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","115.4","","","","1"
"2010-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","115.8","","","","1"
"2010-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","115.9","","","","1"
"2010-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","115.6","","","","1"
"2010-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","115.6","","","","1"
"2010-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","115.7","","","","1"
"2010-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","116.0","","","","1"
"2010-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","116.6","","","","1"
"2010-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","116.5","","","","1"
"2010-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","116.7","","","","1"
"2010-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","117.4","","","","1"
"2010-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","117.7","","","","1"
"2010-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","118.2","","","","1"
"2011-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","118.4","","","","1"
"2011-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","118.3","","","","1"
"2011-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","119.1","","","","1"
"2011-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","119.6","","","","1"
"2011-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","120.0","","","","1"
"2011-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","119.6","","","","1"
"2011-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","119.8","","","","1"
"2011-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","120.1","","","","1"
"2011-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","120.5","","","","1"
"2011-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","120.9","","","","1"
"2011-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","121.0","","","","1"
"2011-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","120.8","","","","1"
"2012-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","121.5","","","","1"
"2012-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","121.4","","","","1"
"2012-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","121.5","","","","1"
"2012-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","121.9","","","","1"
"2012-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","121.5","","","","1"
"2012-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","121.2","","","","1"
"2012-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","121.2","","","","1"
"2012-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","121.7","","","","1"
"2012-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","121.9","","","","1"
"2012-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","122.2","","","","1"
"2012-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","122.1","","","","1"
"2012-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","122.0","","","","1"
"2013-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","122.1","","","","1"
"2013-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","122.9","","","","1"
"2013-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","122.8","","","","1"
"2013-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","122.3","","","","1"
"2013-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","122.3","","","","1"
