QUARTER,PROV,WAGE_BIN,EMPLOYMENT,WAGE_MID
2006Q1,48,61,47514,15.125
2006Q1,35,160,46034,39.875
2006Q1,46,141,15119,35.125
2006Q1,10,39,5433,9.625
2006Q1,12,86,5041,21.375
2006Q1,35,43,363843,10.625
2006Q1,35,22,7175,5.375
2006Q1,59,109,82985,27.125
2006Q1,35,113,261000,28.125
2006Q1,24,64,84974,15.875
2006Q1,24,36,246133,8.875
2006Q1,48,100,23727,24.875
2006Q1,35,130,47927,32.375
2006Q1,35,84,91159,20.875
2006Q1,24,147,32769,36.625
2006Q1,35,94,272554,23.375
2006Q1,48,47,100721,11.625
2006Q1,47,114,1510,28.375
2006Q1,24,71,331582,17.625
2006Q1,59,87,25734,21.625
2006Q1,12,56,6741,13.875
2006Q1,35,34,56952,8.375
2006Q1,46,38,54664,9.375
2006Q1,24,113,133548,28.125
2006Q1,24,109,121251,27.125
2006Q1,24,75,124838,18.625
2006Q1,48,63,18945,15.625
2006Q1,48,80,87857,19.875
2006Q1,35,38,375349,9.375
2006Q1,24,43,198387,10.625
2006Q1,59,65,19978,16.125
2006Q1,24,94,151480,23.375
2006Q1,46,47,44013,11.625
2006Q1,24,95,106504,23.625
2006Q1,46,118,21695,29.375
2006Q1,24,78,85221,19.375
2006Q1,59,68,54268,16.875
2006Q1,24,91,96536,22.625
2006Q1,46,133,4717,33.125
2006Q1,48,103,17639,25.625
2006Q1,10,53,1988,13.125
2006Q1,24,66,206438,16.375
2006Q1,47,73,12297,18.125
2006Q1,46,43,34579,10.625
2006Q1,59,85,142622,21.125
2006Q1,24,82,77093,20.375
2006Q1,46,148,1704,36.875
2006Q1,48,132,37414,32.875
2006Q1,59,94,89018,23.375
2006Q1,35,136,157391,33.875
2006Q1,48,40,54982,9.875
2006Q1,59,77,20213,19.125
2006Q1,48,105,10319,26.125
2006Q1,35,96,45861,23.875
2006Q1,35,71,436263,17.625
2006Q1,46,94,18645,23.375
2006Q1,35,54,61007,13.375
2006Q1,48,113,63263,28.125
2006Q1,12,31,14399,7.625
2006Q1,11,68,2185,16.875
2006Q1,35,108,78111,26.875
2006Q1,48,59,42707,14.625
2006Q1,35,85,309627,21.125
2006Q1,59,38,181314,9.375
2006Q1,46,99,13544,24.625
2006Q1,46,85,23393,21.125
2006Q1,59,101,24088,25.125
2006Q1,48,108,18247,26.875
2006Q1,24,38,289457,9.375
2006Q1,12,43,40246,10.625
2006Q1,35,91,230707,22.625
2006Q1,35,104,261967,25.875
2006Q1,24,119,24239,29.625
2006Q1,46,46,12473,11.375
2006Q1,35,61,146339,15.125
2006Q1,13,61,8593,15.125
2006Q1,59,113,103893,28.125
2006Q1,48,104,60379,25.875
2006Q1,35,127,112749,31.625
2006Q1,48,154,10569,38.375
2006Q1,24,87,62591,21.625
2006Q1,24,133,35220,33.125
2006Q1,47,108,3461,26.875
2006Q1,24,132,66057,32.875
2006Q1,35,59,182745,14.625
2006Q1,35,102,126394,25.375
2006Q1,24,57,271120,14.125
2006Q1,35,52,280968,12.875
