statenum,QUARTER,wagebins,count,pop,cpi,MW,TREATMENT
10,2006Q1,39,5433,1278278,108.666666666667,6.5,0
10,2006Q1,53,1988,1278278,108.666666666667,6.5,0
10,2006Q1,100,2036,1278278,108.666666666667,6.5,0
10,2006Q1,44,5320,1278278,108.666666666667,6.5,0
10,2006Q1,45,4488,1278278,108.666666666667,6.5,0
10,2006Q1,146,1177,1278278,108.666666666667,6.5,0
10,2006Q1,108,2003,1278278,108.666666666667,6.5,0
10,2006Q1,38,13719,1278278,108.666666666667,6.5,0
10,2006Q1,30,11126,1278278,108.666666666667,6.5,0
10,2006Q1,158,826,1278278,108.666666666667,6.5,0
10,2006Q1,37,9659,1278278,108.666666666667,6.5,0
10,2006Q1,98,1579,1278278,108.666666666667,6.5,0
10,2006Q1,118,8227,1278278,108.666666666667,6.5,0
10,2006Q1,64,5381,1278278,108.666666666667,6.5,0
10,2006Q1,94,6200,1278278,108.666666666667,6.5,0
10,2006Q1,104,6541,1278278,108.666666666667,6.5,0
10,2006Q1,34,4132,1278278,108.666666666667,6.5,0
10,2006Q1,121,3054,1278278,108.666666666667,6.5,0
10,2006Q1,47,9814,1278278,108.666666666667,6.5,0
10,2006Q1,91,2579,1278278,108.666666666667,6.5,0
10,2006Q1,40,5259,1278278,108.666666666667,6.5,0
10,2006Q1,78,4595,1278278,108.666666666667,6.5,0
10,2006Q1,35,6436,1278278,108.666666666667,6.5,0
10,2006Q1,65,3914,1278278,108.666666666667,6.5,0
10,2006Q1,136,4898,1278278,108.666666666667,6.5,0
10,2006Q1,141,3218,1278278,108.666666666667,6.5,0
10,2006Q1,113,4968,1278278,108.666666666667,6.5,0
10,2006Q1,80,7143,1278278,108.666666666667,6.5,0
10,2006Q1,134,2578,1278278,108.666666666667,6.5,0
10,2006Q1,57,12368,1278278,108.666666666667,6.5,0
10,2006Q1,85,8281,1278278,108.666666666667,6.5,0
10,2006Q1,82,3366,1278278,108.666666666667,6.5,0
10,2006Q1,75,5391,1278278,108.666666666667,6.5,0
10,2006Q1,63,2421,1278278,108.666666666667,6.5,0
10,2006Q1,84,1143,1278278,108.666666666667,6.5,0
10,2006Q1,153,422,1278278,108.666666666667,6.5,0
10,2006Q1,132,5205,1278278,108.666666666667,6.5,0
