
="",="(1)"
="",="overallcountpc"

="treat_m4",="0.00000734"
="",="(0.14)"

="treat_m3",="-0.0000134"
="",="(-0.37)"

="treat_m2",="-0.000683***"
="",="(-6.59)"

="treat_m1",="-0.00192***"
="",="(-6.86)"

="treat_p0",="0.00211***"
="",="(7.55)"

="treat_p1",="0.000259"
="",="(1.69)"

="treat_p2",="0.000197"
="",="(1.49)"

="treat_p3",="0.000315*"
="",="(2.55)"

="treat_p4",="-0.00000571"
="",="(-0.07)"

="L4treat_m4",="-0.0000372"
="",="(-0.56)"

="L4treat_m3",="-0.000109"
="",="(-1.80)"

="L4treat_m2",="-0.000535***"
="",="(-4.06)"

="L4treat_m1",="-0.00174***"
="",="(-4.96)"

="L4treat_p0",="0.00166***"
="",="(5.49)"

="L4treat_p1",="0.000292"
="",="(1.25)"

="L4treat_p2",="0.0000718"
="",="(0.37)"

="L4treat_p3",="0.000197"
="",="(1.85)"

="L4treat_p4",="0.000118"
="",="(1.23)"

="L8treat_m4",="-0.0000466"
="",="(-0.71)"

="L8treat_m3",="-0.000174**"
="",="(-3.15)"

="L8treat_m2",="-0.000541***"
="",="(-3.61)"

="L8treat_m1",="-0.00156***"
="",="(-5.02)"

="L8treat_p0",="0.00139***"
="",="(4.46)"

="L8treat_p1",="0.000360"
="",="(1.50)"

="L8treat_p2",="0.000119"
="",="(0.56)"

="L8treat_p3",="0.000116"
="",="(0.69)"

="L8treat_p4",="-0.0000526"
="",="(-0.64)"

="L12treat_m4",="-0.000111*"
="",="(-2.21)"

="L12treat_m3",="-0.000131"
="",="(-1.68)"

="L12treat_m2",="-0.000516***"
="",="(-3.61)"

="L12treat_m1",="-0.00147***"
="",="(-4.26)"

="L12treat_p0",="0.00162***"
="",="(4.14)"

="L12treat_p1",="-0.0000606"
="",="(-0.32)"

="L12treat_p2",="0.000246"
="",="(1.61)"

="L12treat_p3",="0.000280*"
="",="(2.36)"

="L12treat_p4",="0.000135"
="",="(1.35)"

="L16treat_m4",="-0.000141***"
="",="(-3.70)"

="L16treat_m3",="-0.000144"
="",="(-1.78)"

="L16treat_m2",="-0.000326*"
="",="(-2.61)"

="L16treat_m1",="-0.000615**"
="",="(-3.22)"

="L16treat_p0",="0.00111***"
="",="(5.80)"

="L16treat_p1",="0.0000276"
="",="(0.19)"

="L16treat_p2",="0.000143"
="",="(0.79)"

="L16treat_p3",="0.000267"
="",="(1.66)"

="L16treat_p4",="-0.000114"
="",="(-0.93)"

="one",="0"
="",="(.)"

="N",="847314"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
