
="",="(1)"
="",="overallcountpc"

="F12treat_m4",="-0.0000705"
="",="(-1.66)"

="F12treat_m3",="-0.0000371"
="",="(-0.52)"

="F12treat_m2",="-0.000171*"
="",="(-2.11)"

="F12treat_m1",="-0.000299"
="",="(-1.27)"

="F12treat_p0",="0.000653*"
="",="(2.31)"

="F12treat_p1",="0.0000199"
="",="(0.14)"

="F12treat_p2",="0.0000612"
="",="(0.67)"

="F12treat_p3",="0.000145"
="",="(1.01)"

="F12treat_p4",="-0.000183*"
="",="(-2.40)"

="F8treat_m4",="-0.0000105"
="",="(-0.34)"

="F8treat_m3",="-0.0000353"
="",="(-0.73)"

="F8treat_m2",="0.0000837"
="",="(0.83)"

="F8treat_m1",="-0.000140"
="",="(-0.64)"

="F8treat_p0",="0.000278"
="",="(1.82)"

="F8treat_p1",="-0.0000994"
="",="(-0.86)"

="F8treat_p2",="0.0000313"
="",="(0.27)"

="F8treat_p3",="0.000140"
="",="(1.22)"

="F8treat_p4",="-0.000298***"
="",="(-3.85)"

="one",="0"
="",="(.)"

="N",="847314"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
