
="",="(1)"
="",="BHcountpc"

="treat_m4",="0.000109"
="",="(1.34)"

="treat_m3",="-0.000153*"
="",="(-2.05)"

="treat_m2",="-0.00113***"
="",="(-3.94)"

="treat_m1",="-0.00377***"
="",="(-3.86)"

="treat_p0",="0.00425***"
="",="(4.75)"

="treat_p1",="0.000514*"
="",="(2.18)"

="treat_p2",="0.000112"
="",="(0.54)"

="treat_p3",="0.000756*"
="",="(2.62)"

="treat_p4",="-0.0000195"
="",="(-0.08)"

="L4treat_m4",="-0.000138"
="",="(-1.44)"

="L4treat_m3",="-0.000193"
="",="(-1.79)"

="L4treat_m2",="-0.000373"
="",="(-1.84)"

="L4treat_m1",="-0.00353**"
="",="(-3.04)"

="L4treat_p0",="0.00339***"
="",="(4.40)"

="L4treat_p1",="0.000422"
="",="(1.15)"

="L4treat_p2",="0.000336"
="",="(1.58)"

="L4treat_p3",="0.000230"
="",="(1.00)"

="L4treat_p4",="0.000241"
="",="(1.21)"

="L8treat_m4",="-0.000100"
="",="(-0.98)"

="L8treat_m3",="-0.000216*"
="",="(-2.55)"

="L8treat_m2",="-0.000422*"
="",="(-2.23)"

="L8treat_m1",="-0.00316**"
="",="(-2.86)"

="L8treat_p0",="0.00338***"
="",="(4.22)"

="L8treat_p1",="-0.0000859"
="",="(-0.20)"

="L8treat_p2",="-0.000207"
="",="(-0.53)"

="L8treat_p3",="-0.0000973"
="",="(-0.32)"

="L8treat_p4",="-0.0000162"
="",="(-0.08)"

="L12treat_m4",="-0.000185"
="",="(-1.03)"

="L12treat_m3",="-0.000336**"
="",="(-2.70)"

="L12treat_m2",="-0.000140"
="",="(-0.57)"

="L12treat_m1",="-0.00352**"
="",="(-3.00)"

="L12treat_p0",="0.00379***"
="",="(4.79)"

="L12treat_p1",="-0.000358"
="",="(-0.91)"

="L12treat_p2",="0.000222"
="",="(0.93)"

="L12treat_p3",="0.000144"
="",="(0.54)"

="L12treat_p4",="0.000246"
="",="(0.96)"

="L16treat_m4",="-0.000139"
="",="(-1.12)"

="L16treat_m3",="-0.000425**"
="",="(-3.15)"

="L16treat_m2",="-0.00000392"
="",="(-0.01)"

="L16treat_m1",="-0.00234**"
="",="(-2.69)"

="L16treat_p0",="0.00298***"
="",="(4.55)"

="L16treat_p1",="-0.000671"
="",="(-1.39)"

="L16treat_p2",="0.000170"
="",="(0.63)"

="L16treat_p3",="0.000227"
="",="(0.88)"

="L16treat_p4",="-0.000146"
="",="(-0.70)"

="one",="0"
="",="(.)"

="N",="846729"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
