
="",="(1)"
="",="HSDcountpc"

="treat_m4",="-0.0000571"
="",="(-0.75)"

="treat_m3",="-0.000221*"
="",="(-2.20)"

="treat_m2",="-0.00223***"
="",="(-5.16)"

="treat_m1",="-0.00485***"
="",="(-7.00)"

="treat_p0",="0.00584***"
="",="(6.86)"

="treat_p1",="0.000764**"
="",="(2.83)"

="treat_p2",="0.000123"
="",="(0.46)"

="treat_p3",="0.000538**"
="",="(2.82)"

="treat_p4",="0.000365"
="",="(1.58)"

="L4treat_m4",="-0.000132"
="",="(-1.01)"

="L4treat_m3",="-0.000230"
="",="(-1.81)"

="L4treat_m2",="-0.00143***"
="",="(-4.19)"

="L4treat_m1",="-0.00487***"
="",="(-6.57)"

="L4treat_p0",="0.00499***"
="",="(9.92)"

="L4treat_p1",="0.00120***"
="",="(4.05)"

="L4treat_p2",="0.000525"
="",="(1.55)"

="L4treat_p3",="0.000264"
="",="(1.24)"

="L4treat_p4",="0.000674*"
="",="(2.66)"

="L8treat_m4",="-0.000206"
="",="(-1.47)"

="L8treat_m3",="-0.000295*"
="",="(-2.26)"

="L8treat_m2",="-0.00144**"
="",="(-3.29)"

="L8treat_m1",="-0.00415***"
="",="(-6.95)"

="L8treat_p0",="0.00524***"
="",="(7.76)"

="L8treat_p1",="0.000881"
="",="(1.96)"

="L8treat_p2",="0.000524"
="",="(1.03)"

="L8treat_p3",="0.000478"
="",="(1.45)"

="L8treat_p4",="0.000326"
="",="(1.33)"

="L12treat_m4",="-0.000339"
="",="(-1.96)"

="L12treat_m3",="-0.000437*"
="",="(-2.50)"

="L12treat_m2",="-0.00106***"
="",="(-3.64)"

="L12treat_m1",="-0.00450***"
="",="(-5.72)"

="L12treat_p0",="0.00571***"
="",="(7.11)"

="L12treat_p1",="0.000345"
="",="(1.24)"

="L12treat_p2",="0.000639"
="",="(1.48)"

="L12treat_p3",="0.000506*"
="",="(2.07)"

="L12treat_p4",="0.000271"
="",="(1.17)"

="L16treat_m4",="-0.000288"
="",="(-1.53)"

="L16treat_m3",="-0.000735***"
="",="(-4.48)"

="L16treat_m2",="-0.000809**"
="",="(-2.78)"

="L16treat_m1",="-0.00243**"
="",="(-3.06)"

="L16treat_p0",="0.00412***"
="",="(5.67)"

="L16treat_p1",="-0.000262"
="",="(-0.75)"

="L16treat_p2",="0.000431"
="",="(1.05)"

="L16treat_p3",="0.000920***"
="",="(3.54)"

="L16treat_p4",="0.0000297"
="",="(0.14)"

="one",="0"
="",="(.)"

="N",="847314"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
