
="",="(1)"
="",="HSLcountpc"

="treat_m4",="-0.0000740"
="",="(-1.60)"

="treat_m3",="-0.000183***"
="",="(-3.51)"

="treat_m2",="-0.00122***"
="",="(-3.56)"

="treat_m1",="-0.00318***"
="",="(-5.94)"

="treat_p0",="0.00387***"
="",="(5.43)"

="treat_p1",="0.000381"
="",="(1.85)"

="treat_p2",="0.000151"
="",="(1.13)"

="treat_p3",="0.000612***"
="",="(4.52)"

="treat_p4",="0.000135"
="",="(1.01)"

="L4treat_m4",="-0.000131"
="",="(-1.81)"

="L4treat_m3",="-0.000108"
="",="(-1.52)"

="L4treat_m2",="-0.000730**"
="",="(-3.42)"

="L4treat_m1",="-0.00315***"
="",="(-4.69)"

="L4treat_p0",="0.00311***"
="",="(6.60)"

="L4treat_p1",="0.000426"
="",="(1.84)"

="L4treat_p2",="0.000201"
="",="(0.88)"

="L4treat_p3",="0.000462**"
="",="(3.33)"

="L4treat_p4",="0.000258"
="",="(1.34)"

="L8treat_m4",="-0.000126"
="",="(-1.36)"

="L8treat_m3",="-0.000238***"
="",="(-3.60)"

="L8treat_m2",="-0.000714*"
="",="(-2.28)"

="L8treat_m1",="-0.00257***"
="",="(-4.82)"

="L8treat_p0",="0.00324***"
="",="(5.91)"

="L8treat_p1",="0.000516*"
="",="(2.11)"

="L8treat_p2",="0.000364"
="",="(1.58)"

="L8treat_p3",="0.000541*"
="",="(2.59)"

="L8treat_p4",="-0.0000683"
="",="(-0.40)"

="L12treat_m4",="-0.000224"
="",="(-1.70)"

="L12treat_m3",="-0.000289*"
="",="(-2.18)"

="L12treat_m2",="-0.000479*"
="",="(-2.04)"

="L12treat_m1",="-0.00275***"
="",="(-4.01)"

="L12treat_p0",="0.00342***"
="",="(6.10)"

="L12treat_p1",="0.0000235"
="",="(0.13)"

="L12treat_p2",="0.000520***"
="",="(3.55)"

="L12treat_p3",="0.000785***"
="",="(4.58)"

="L12treat_p4",="0.000292"
="",="(1.65)"

="L16treat_m4",="-0.000214*"
="",="(-2.27)"

="L16treat_m3",="-0.000401*"
="",="(-2.66)"

="L16treat_m2",="-0.000359*"
="",="(-2.14)"

="L16treat_m1",="-0.00148**"
="",="(-3.09)"

="L16treat_p0",="0.00279***"
="",="(5.40)"

="L16treat_p1",="-0.000220"
="",="(-0.86)"

="L16treat_p2",="0.000107"
="",="(0.44)"

="L16treat_p3",="0.000633***"
="",="(3.65)"

="L16treat_p4",="-0.000230"
="",="(-1.27)"

="one",="0"
="",="(.)"

="N",="847314"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
