
="",="(1)"
="",="femalecountpc"

="treat_m4",="-0.00000644"
="",="(-0.11)"

="treat_m3",="-0.000129*"
="",="(-2.65)"

="treat_m2",="-0.000912***"
="",="(-3.89)"

="treat_m1",="-0.00287***"
="",="(-6.45)"

="treat_p0",="0.00299***"
="",="(5.05)"

="treat_p1",="0.000537"
="",="(1.85)"

="treat_p2",="0.000121"
="",="(1.08)"

="treat_p3",="0.000262**"
="",="(2.85)"

="treat_p4",="0.0000248"
="",="(0.19)"

="L4treat_m4",="-0.000103"
="",="(-1.38)"

="L4treat_m3",="-0.000136"
="",="(-1.73)"

="L4treat_m2",="-0.000490**"
="",="(-3.22)"

="L4treat_m1",="-0.00245***"
="",="(-5.24)"

="L4treat_p0",="0.00238***"
="",="(6.56)"

="L4treat_p1",="0.000517"
="",="(1.98)"

="L4treat_p2",="0.0000956"
="",="(0.58)"

="L4treat_p3",="0.000275"
="",="(1.99)"

="L4treat_p4",="0.000201"
="",="(1.25)"

="L8treat_m4",="-0.0000405"
="",="(-0.39)"

="L8treat_m3",="-0.000203**"
="",="(-3.50)"

="L8treat_m2",="-0.000497**"
="",="(-2.69)"

="L8treat_m1",="-0.00238***"
="",="(-4.23)"

="L8treat_p0",="0.00245***"
="",="(5.37)"

="L8treat_p1",="0.000447"
="",="(2.01)"

="L8treat_p2",="0.000242"
="",="(1.46)"

="L8treat_p3",="0.000268"
="",="(1.49)"

="L8treat_p4",="-0.0000327"
="",="(-0.33)"

="L12treat_m4",="-0.000206"
="",="(-1.92)"

="L12treat_m3",="-0.000167"
="",="(-1.43)"

="L12treat_m2",="-0.000385*"
="",="(-2.33)"

="L12treat_m1",="-0.00230***"
="",="(-3.93)"

="L12treat_p0",="0.00235***"
="",="(6.70)"

="L12treat_p1",="0.000242"
="",="(1.01)"

="L12treat_p2",="0.000286*"
="",="(2.20)"

="L12treat_p3",="0.000278**"
="",="(2.68)"

="L12treat_p4",="0.000393*"
="",="(2.15)"

="L16treat_m4",="-0.000163*"
="",="(-2.15)"

="L16treat_m3",="-0.000269*"
="",="(-2.13)"

="L16treat_m2",="-0.000449**"
="",="(-3.01)"

="L16treat_m1",="-0.00136**"
="",="(-2.86)"

="L16treat_p0",="0.00236***"
="",="(6.84)"

="L16treat_p1",="0.000166"
="",="(0.70)"

="L16treat_p2",="0.0000231"
="",="(0.12)"

="L16treat_p3",="0.000259*"
="",="(2.10)"

="L16treat_p4",="0.0000439"
="",="(0.27)"

="one",="0"
="",="(.)"

="N",="847314"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
