
="",="(1)"
="",="teencountpc"

="treat_m4",="-0.000292*"
="",="(-2.32)"

="treat_m3",="-0.000336*"
="",="(-2.26)"

="treat_m2",="-0.00315***"
="",="(-4.99)"

="treat_m1",="-0.00971***"
="",="(-10.13)"

="treat_p0",="0.0110***"
="",="(7.85)"

="treat_p1",="0.00108"
="",="(1.59)"

="treat_p2",="0.000636"
="",="(1.63)"

="treat_p3",="0.000562*"
="",="(2.09)"

="treat_p4",="0.000241"
="",="(0.80)"

="L4treat_m4",="-0.000392"
="",="(-1.52)"

="L4treat_m3",="-0.000420"
="",="(-1.89)"

="L4treat_m2",="-0.00216**"
="",="(-3.37)"

="L4treat_m1",="-0.00891***"
="",="(-6.81)"

="L4treat_p0",="0.00898***"
="",="(13.55)"

="L4treat_p1",="0.000662"
="",="(0.95)"

="L4treat_p2",="0.000863"
="",="(1.77)"

="L4treat_p3",="0.000679**"
="",="(2.88)"

="L4treat_p4",="0.000610**"
="",="(3.11)"

="L8treat_m4",="-0.000697*"
="",="(-2.32)"

="L8treat_m3",="-0.00101***"
="",="(-3.90)"

="L8treat_m2",="-0.00144*"
="",="(-2.10)"

="L8treat_m1",="-0.00846***"
="",="(-7.92)"

="L8treat_p0",="0.00881***"
="",="(9.93)"

="L8treat_p1",="0.00102"
="",="(1.42)"

="L8treat_p2",="0.00138*"
="",="(2.27)"

="L8treat_p3",="0.000904**"
="",="(2.97)"

="L8treat_p4",="0.0000368"
="",="(0.15)"

="L12treat_m4",="-0.000756*"
="",="(-2.21)"

="L12treat_m3",="-0.000820**"
="",="(-2.79)"

="L12treat_m2",="-0.000718"
="",="(-1.02)"

="L12treat_m1",="-0.00816***"
="",="(-7.36)"

="L12treat_p0",="0.00841***"
="",="(7.10)"

="L12treat_p1",="0.000903"
="",="(1.36)"

="L12treat_p2",="0.00132*"
="",="(2.46)"

="L12treat_p3",="0.00173***"
="",="(5.31)"

="L12treat_p4",="0.000324"
="",="(0.98)"

="L16treat_m4",="-0.000848*"
="",="(-2.07)"

="L16treat_m3",="-0.00132**"
="",="(-3.29)"

="L16treat_m2",="-0.00122"
="",="(-1.78)"

="L16treat_m1",="-0.00351**"
="",="(-3.24)"

="L16treat_p0",="0.00633***"
="",="(6.31)"

="L16treat_p1",="0.000721"
="",="(1.44)"

="L16treat_p2",="0.00149*"
="",="(2.16)"

="L16treat_p3",="0.00138*"
="",="(2.67)"

="L16treat_p4",="0.000273"
="",="(1.17)"

="one",="0"
="",="(.)"

="N",="847314"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
