
="",="(1)"
="",="ind_all_overallcountpc"

="treat_m4",="-0.0000342"
="",="(-0.60)"

="treat_m3",="-0.000107**"
="",="(-2.68)"

="treat_m2",="-0.000615***"
="",="(-4.99)"

="treat_m1",="-0.00247***"
="",="(-6.10)"

="treat_p0",="0.00259***"
="",="(6.74)"

="treat_p1",="0.000363*"
="",="(2.24)"

="treat_p2",="0.000100"
="",="(1.02)"

="treat_p3",="0.000427***"
="",="(3.96)"

="treat_p4",="0.0000540"
="",="(0.52)"

="L4treat_m4",="-0.0000769"
="",="(-1.16)"

="L4treat_m3",="-0.000111"
="",="(-1.68)"

="L4treat_m2",="-0.000209"
="",="(-1.17)"

="L4treat_m1",="-0.00247***"
="",="(-3.88)"

="L4treat_p0",="0.00212***"
="",="(7.15)"

="L4treat_p1",="0.000239"
="",="(1.20)"

="L4treat_p2",="0.0000273"
="",="(0.17)"

="L4treat_p3",="0.000272*"
="",="(2.44)"

="L4treat_p4",="0.0000953"
="",="(1.01)"

="L8treat_m4",="-0.000103"
="",="(-1.34)"

="L8treat_m3",="-0.0000947"
="",="(-1.51)"

="L8treat_m2",="-0.000228*"
="",="(-2.08)"

="L8treat_m1",="-0.00235***"
="",="(-3.74)"

="L8treat_p0",="0.00238***"
="",="(6.41)"

="L8treat_p1",="0.000198"
="",="(0.93)"

="L8treat_p2",="0.000133"
="",="(0.73)"

="L8treat_p3",="0.000235"
="",="(1.84)"

="L8treat_p4",="-0.0000677"
="",="(-0.66)"

="L12treat_m4",="-0.000146"
="",="(-1.75)"

="L12treat_m3",="-0.0000444"
="",="(-0.87)"

="L12treat_m2",="-0.000309*"
="",="(-2.37)"

="L12treat_m1",="-0.00234***"
="",="(-3.95)"

="L12treat_p0",="0.00223***"
="",="(6.05)"

="L12treat_p1",="-0.0000947"
="",="(-0.45)"

="L12treat_p2",="0.000144"
="",="(1.53)"

="L12treat_p3",="0.000426***"
="",="(4.21)"

="L12treat_p4",="0.000205"
="",="(1.49)"

="L16treat_m4",="-0.000150*"
="",="(-2.24)"

="L16treat_m3",="-0.000121"
="",="(-1.87)"

="L16treat_m2",="-0.000285**"
="",="(-2.80)"

="L16treat_m1",="-0.00141**"
="",="(-3.27)"

="L16treat_p0",="0.00190***"
="",="(7.17)"

="L16treat_p1",="-0.000118"
="",="(-0.46)"

="L16treat_p2",="-0.000000773"
="",="(-0.00)"

="L16treat_p3",="0.000439***"
="",="(5.25)"

="L16treat_p4",="-0.000128"
="",="(-1.00)"

="one",="0"
="",="(.)"

="N",="554931"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
