
="",="(1)"
="",="ind_manuf_overallcountpc"

="treat_m4",="-0.000000976"
="",="(-1.26)"

="treat_m3",="-0.000000386"
="",="(-0.50)"

="treat_m2",="-0.00000921*"
="",="(-2.18)"

="treat_m1",="-0.0000142"
="",="(-1.82)"

="treat_p0",="0.0000153**"
="",="(2.96)"

="treat_p1",="-0.000000126"
="",="(-0.04)"

="treat_p2",="-0.000000550"
="",="(-0.14)"

="treat_p3",="0.00000500"
="",="(1.07)"

="treat_p4",="-0.00000459"
="",="(-1.57)"

="L4treat_m4",="-0.00000129*"
="",="(-2.25)"

="L4treat_m3",="-0.00000189**"
="",="(-2.69)"

="L4treat_m2",="-0.00000844*"
="",="(-2.10)"

="L4treat_m1",="-0.0000200"
="",="(-1.57)"

="L4treat_p0",="0.0000180*"
="",="(2.56)"

="L4treat_p1",="-0.00000148"
="",="(-0.39)"

="L4treat_p2",="0.00000264"
="",="(0.63)"

="L4treat_p3",="0.00000947"
="",="(1.34)"

="L4treat_p4",="-0.00000658"
="",="(-1.18)"

="L8treat_m4",="-0.00000134*"
="",="(-2.41)"

="L8treat_m3",="-0.00000101"
="",="(-0.86)"

="L8treat_m2",="-0.00000890"
="",="(-1.71)"

="L8treat_m1",="-0.0000143"
="",="(-1.47)"

="L8treat_p0",="0.0000165*"
="",="(2.44)"

="L8treat_p1",="0.00000896"
="",="(1.53)"

="L8treat_p2",="0.00000889"
="",="(1.57)"

="L8treat_p3",="0.00000561"
="",="(1.03)"

="L8treat_p4",="-0.00000151"
="",="(-0.35)"

="L12treat_m4",="-0.00000198*"
="",="(-2.50)"

="L12treat_m3",="-0.00000229"
="",="(-1.68)"

="L12treat_m2",="-0.00000991*"
="",="(-2.07)"

="L12treat_m1",="-0.0000224"
="",="(-1.89)"

="L12treat_p0",="0.0000172*"
="",="(2.60)"

="L12treat_p1",="-0.00000366"
="",="(-0.89)"

="L12treat_p2",="0.00000625"
="",="(1.59)"

="L12treat_p3",="0.00000451"
="",="(0.86)"

="L12treat_p4",="-0.00000118"
="",="(-0.24)"

="L16treat_m4",="-0.00000102"
="",="(-1.14)"

="L16treat_m3",="-0.00000143"
="",="(-1.44)"

="L16treat_m2",="-0.00000859*"
="",="(-2.03)"

="L16treat_m1",="-0.0000197"
="",="(-1.65)"

="L16treat_p0",="0.00000659"
="",="(1.11)"

="L16treat_p1",="-0.00000528"
="",="(-1.11)"

="L16treat_p2",="-0.000000133"
="",="(-0.03)"

="L16treat_p3",="0.00000789"
="",="(1.35)"

="L16treat_p4",="-0.00000417"
="",="(-1.04)"

="one",="0"
="",="(.)"

="N",="554931"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
