
="",="(1)"
="",="ind_mscon_overallcountpc"

="treat_m4",="-0.000000422"
="",="(-0.74)"

="treat_m3",="-1.77e-08"
="",="(-0.02)"

="treat_m2",="-0.00000121"
="",="(-1.25)"

="treat_m1",="-0.00000574"
="",="(-1.31)"

="treat_p0",="0.00000615"
="",="(2.00)"

="treat_p1",="7.92e-08"
="",="(0.03)"

="treat_p2",="-0.000000275"
="",="(-0.06)"

="treat_p3",="0.00000759"
="",="(1.77)"

="treat_p4",="0.00000135"
="",="(0.44)"

="L4treat_m4",="0.000000768"
="",="(1.36)"

="L4treat_m3",="0.00000121*"
="",="(2.64)"

="L4treat_m2",="-0.000000224"
="",="(-0.15)"

="L4treat_m1",="-0.00000424"
="",="(-1.21)"

="L4treat_p0",="-0.00000162"
="",="(-0.69)"

="L4treat_p1",="-0.000000147"
="",="(-0.04)"

="L4treat_p2",="-0.00000805*"
="",="(-2.16)"

="L4treat_p3",="0.0000109"
="",="(1.87)"

="L4treat_p4",="0.00000458"
="",="(1.00)"

="L8treat_m4",="4.40e-08"
="",="(0.07)"

="L8treat_m3",="0.000000400"
="",="(0.48)"

="L8treat_m2",="-0.00000104"
="",="(-0.91)"

="L8treat_m1",="-0.00000310"
="",="(-0.66)"

="L8treat_p0",="0.00000302"
="",="(1.12)"

="L8treat_p1",="-0.00000496"
="",="(-1.88)"

="L8treat_p2",="-0.00000302"
="",="(-0.83)"

="L8treat_p3",="0.00000268"
="",="(0.74)"

="L8treat_p4",="0.000000445"
="",="(0.11)"

="L12treat_m4",="-0.000000556"
="",="(-0.88)"

="L12treat_m3",="0.000000598"
="",="(1.11)"

="L12treat_m2",="-0.000000315"
="",="(-0.30)"

="L12treat_m1",="-0.00000453"
="",="(-1.19)"

="L12treat_p0",="0.00000272"
="",="(1.19)"

="L12treat_p1",="-0.000000311"
="",="(-0.10)"

="L12treat_p2",="-0.00000504"
="",="(-1.04)"

="L12treat_p3",="0.00000885"
="",="(1.85)"

="L12treat_p4",="0.00000632"
="",="(1.63)"

="L16treat_m4",="-0.000000473"
="",="(-0.88)"

="L16treat_m3",="0.000000331"
="",="(0.50)"

="L16treat_m2",="-0.000000154"
="",="(-0.09)"

="L16treat_m1",="-0.00000346"
="",="(-1.04)"

="L16treat_p0",="0.00000110"
="",="(0.46)"

="L16treat_p1",="-0.00000358"
="",="(-0.89)"

="L16treat_p2",="-0.00000361"
="",="(-0.71)"

="L16treat_p3",="0.00000607"
="",="(1.02)"

="L16treat_p4",="0.00000320"
="",="(0.95)"

="one",="0"
="",="(.)"

="N",="554931"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
