
="",="(1)"
="",="ind_msnontrad_overallcountpc"

="treat_m4",="-0.00000158"
="",="(-0.21)"

="treat_m3",="-0.0000110"
="",="(-1.96)"

="treat_m2",="-0.0000548***"
="",="(-5.92)"

="treat_m1",="-0.000218***"
="",="(-9.87)"

="treat_p0",="0.000236***"
="",="(11.48)"

="treat_p1",="0.0000369**"
="",="(3.25)"

="treat_p2",="0.00000632"
="",="(0.91)"

="treat_p3",="0.0000206*"
="",="(2.41)"

="treat_p4",="0.00000103"
="",="(0.14)"

="L4treat_m4",="-0.00000399"
="",="(-0.41)"

="L4treat_m3",="-0.00000916"
="",="(-1.19)"

="L4treat_m2",="-0.0000199"
="",="(-0.90)"

="L4treat_m1",="-0.000224***"
="",="(-6.73)"

="L4treat_p0",="0.000210***"
="",="(13.88)"

="L4treat_p1",="0.0000283"
="",="(1.85)"

="L4treat_p2",="0.00000464"
="",="(0.57)"

="L4treat_p3",="0.00000845"
="",="(1.17)"

="L4treat_p4",="-0.00000140"
="",="(-0.17)"

="L8treat_m4",="-0.00000648"
="",="(-0.51)"

="L8treat_m3",="-0.00000647"
="",="(-0.83)"

="L8treat_m2",="-0.0000182"
="",="(-1.34)"

="L8treat_m1",="-0.000215***"
="",="(-5.31)"

="L8treat_p0",="0.000235***"
="",="(7.70)"

="L8treat_p1",="0.00000219"
="",="(0.09)"

="L8treat_p2",="0.00000233"
="",="(0.23)"

="L8treat_p3",="0.00000476"
="",="(0.70)"

="L8treat_p4",="-0.00000573"
="",="(-0.55)"

="L12treat_m4",="-0.00000982"
="",="(-0.96)"

="L12treat_m3",="0.000000814"
="",="(0.12)"

="L12treat_m2",="-0.0000230"
="",="(-1.74)"

="L12treat_m1",="-0.000203***"
="",="(-5.69)"

="L12treat_p0",="0.000228***"
="",="(8.53)"

="L12treat_p1",="0.0000147"
="",="(0.58)"

="L12treat_p2",="0.0000157"
="",="(1.27)"

="L12treat_p3",="0.0000192**"
="",="(3.14)"

="L12treat_p4",="0.00000214"
="",="(0.16)"

="L16treat_m4",="-0.0000158"
="",="(-1.82)"

="L16treat_m3",="-0.00000535"
="",="(-0.67)"

="L16treat_m2",="-0.0000214"
="",="(-1.94)"

="L16treat_m1",="-0.000114***"
="",="(-4.39)"

="L16treat_p0",="0.000192***"
="",="(8.27)"

="L16treat_p1",="0.00000646"
="",="(0.30)"

="L16treat_p2",="0.00000397"
="",="(0.26)"

="L16treat_p3",="0.0000221*"
="",="(2.60)"

="L16treat_p4",="-0.00000810"
="",="(-0.90)"

="one",="0"
="",="(.)"

="N",="554931"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
