
="",="(1)"
="",="ind_msother_overallcountpc"

="treat_m4",="-0.00000150"
="",="(-0.18)"

="treat_m3",="-0.0000287"
="",="(-1.89)"

="treat_m2",="-0.000128***"
="",="(-4.00)"

="treat_m1",="-0.000490***"
="",="(-6.02)"

="treat_p0",="0.000523***"
="",="(4.34)"

="treat_p1",="0.0000514"
="",="(0.65)"

="treat_p2",="0.0000674"
="",="(1.78)"

="treat_p3",="0.0000999*"
="",="(2.40)"

="treat_p4",="0.0000274"
="",="(0.61)"

="L4treat_m4",="-0.0000266**"
="",="(-2.86)"

="L4treat_m3",="-0.0000237"
="",="(-1.48)"

="L4treat_m2",="-0.0000154"
="",="(-0.41)"

="L4treat_m1",="-0.000412**"
="",="(-3.21)"

="L4treat_p0",="0.000369***"
="",="(4.61)"

="L4treat_p1",="0.0000217"
="",="(0.33)"

="L4treat_p2",="0.0000308"
="",="(0.62)"

="L4treat_p3",="0.0000143"
="",="(0.31)"

="L4treat_p4",="0.0000398"
="",="(0.74)"

="L8treat_m4",="-0.0000277*"
="",="(-2.52)"

="L8treat_m3",="-0.0000378**"
="",="(-2.78)"

="L8treat_m2",="-0.0000270"
="",="(-0.89)"

="L8treat_m1",="-0.000426***"
="",="(-3.63)"

="L8treat_p0",="0.000451***"
="",="(4.44)"

="L8treat_p1",="0.0000519"
="",="(1.08)"

="L8treat_p2",="0.0000452"
="",="(0.69)"

="L8treat_p3",="0.0000634"
="",="(1.20)"

="L8treat_p4",="-0.0000106"
="",="(-0.27)"

="L12treat_m4",="-0.0000275"
="",="(-1.65)"

="L12treat_m3",="-0.0000161"
="",="(-0.84)"

="L12treat_m2",="-0.0000491"
="",="(-1.80)"

="L12treat_m1",="-0.000412***"
="",="(-3.60)"

="L12treat_p0",="0.000356**"
="",="(3.43)"

="L12treat_p1",="-0.0000777"
="",="(-1.23)"

="L12treat_p2",="0.0000310"
="",="(0.72)"

="L12treat_p3",="0.0000817"
="",="(1.99)"

="L12treat_p4",="0.0000633"
="",="(1.18)"

="L16treat_m4",="-0.0000186"
="",="(-1.46)"

="L16treat_m3",="-0.0000477*"
="",="(-2.65)"

="L16treat_m2",="-0.0000746*"
="",="(-2.47)"

="L16treat_m1",="-0.000259**"
="",="(-2.77)"

="L16treat_p0",="0.000379***"
="",="(5.24)"

="L16treat_p1",="-0.0000659"
="",="(-0.83)"

="L16treat_p2",="0.0000265"
="",="(0.38)"

="L16treat_p3",="0.0000945*"
="",="(2.64)"

="L16treat_p4",="-0.0000641"
="",="(-1.43)"

="one",="0"
="",="(.)"

="N",="554931"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
