
="",="(1)"
="",="ind_mstrad_overallcountpc"

="treat_m4",="-0.000000784"
="",="(-1.03)"

="treat_m3",="-0.000000197"
="",="(-0.26)"

="treat_m2",="-0.00000784*"
="",="(-2.10)"

="treat_m1",="-0.0000143"
="",="(-1.96)"

="treat_p0",="0.0000148**"
="",="(3.03)"

="treat_p1",="0.00000133"
="",="(0.41)"

="treat_p2",="-0.000000384"
="",="(-0.11)"

="treat_p3",="0.00000302"
="",="(0.73)"

="treat_p4",="-0.00000512"
="",="(-1.78)"

="L4treat_m4",="-0.00000123*"
="",="(-2.26)"

="L4treat_m3",="-0.00000158*"
="",="(-2.32)"

="L4treat_m2",="-0.00000691"
="",="(-1.98)"

="L4treat_m1",="-0.0000190"
="",="(-1.56)"

="L4treat_p0",="0.0000172*"
="",="(2.64)"

="L4treat_p1",="-0.00000227"
="",="(-0.68)"

="L4treat_p2",="0.00000221"
="",="(0.56)"

="L4treat_p3",="0.00000644"
="",="(1.10)"

="L4treat_p4",="-0.00000584"
="",="(-1.09)"

="L8treat_m4",="-0.00000116*"
="",="(-2.54)"

="L8treat_m3",="-0.000000694"
="",="(-0.61)"

="L8treat_m2",="-0.00000769"
="",="(-1.61)"

="L8treat_m1",="-0.0000135"
="",="(-1.49)"

="L8treat_p0",="0.0000146*"
="",="(2.34)"

="L8treat_p1",="0.00000893"
="",="(1.64)"

="L8treat_p2",="0.00000677"
="",="(1.54)"

="L8treat_p3",="0.00000371"
="",="(0.74)"

="L8treat_p4",="-0.00000225"
="",="(-0.59)"

="L12treat_m4",="-0.00000162*"
="",="(-2.37)"

="L12treat_m3",="-0.00000195"
="",="(-1.52)"

="L12treat_m2",="-0.00000814"
="",="(-1.93)"

="L12treat_m1",="-0.0000213"
="",="(-1.90)"

="L12treat_p0",="0.0000156*"
="",="(2.54)"

="L12treat_p1",="-0.00000375"
="",="(-1.04)"

="L12treat_p2",="0.00000572"
="",="(1.66)"

="L12treat_p3",="0.00000307"
="",="(0.74)"

="L12treat_p4",="-0.00000170"
="",="(-0.36)"

="L16treat_m4",="-0.000000781"
="",="(-0.99)"

="L16treat_m3",="-0.00000125"
="",="(-1.27)"

="L16treat_m2",="-0.00000707"
="",="(-1.83)"

="L16treat_m1",="-0.0000177"
="",="(-1.67)"

="L16treat_p0",="0.00000578"
="",="(1.15)"

="L16treat_p1",="-0.00000344"
="",="(-0.91)"

="L16treat_p2",="-0.000000150"
="",="(-0.03)"

="L16treat_p3",="0.00000664"
="",="(1.33)"

="L16treat_p4",="-0.00000265"
="",="(-0.73)"

="one",="0"
="",="(.)"

="N",="554931"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
