
="",="(1)"
="",="ind_rest_overallcountpc"

="treat_m4",="0.000000216"
="",="(0.08)"

="treat_m3",="-0.00000552*"
="",="(-2.66)"

="treat_m2",="-0.0000179***"
="",="(-6.57)"

="treat_m1",="-0.0000528***"
="",="(-7.30)"

="treat_p0",="0.0000586***"
="",="(8.02)"

="treat_p1",="0.00000622*"
="",="(2.11)"

="treat_p2",="0.00000113"
="",="(0.52)"

="treat_p3",="0.00000103"
="",="(0.48)"

="treat_p4",="0.00000116"
="",="(0.77)"

="L4treat_m4",="0.000000323"
="",="(0.09)"

="L4treat_m3",="-0.00000382"
="",="(-1.24)"

="L4treat_m2",="-0.00000834"
="",="(-1.54)"

="L4treat_m1",="-0.0000598***"
="",="(-4.89)"

="L4treat_p0",="0.0000596***"
="",="(10.62)"

="L4treat_p1",="0.00000612"
="",="(1.97)"

="L4treat_p2",="0.00000247"
="",="(1.66)"

="L4treat_p3",="-0.00000116"
="",="(-0.63)"

="L4treat_p4",="0.000000912"
="",="(0.39)"

="L8treat_m4",="-0.00000118"
="",="(-0.24)"

="L8treat_m3",="-0.00000385"
="",="(-1.46)"

="L8treat_m2",="-0.00000661"
="",="(-1.88)"

="L8treat_m1",="-0.0000542***"
="",="(-3.92)"

="L8treat_p0",="0.0000684***"
="",="(6.96)"

="L8treat_p1",="-0.00000203"
="",="(-0.30)"

="L8treat_p2",="0.00000127"
="",="(0.63)"

="L8treat_p3",="-0.00000105"
="",="(-0.64)"

="L8treat_p4",="0.000000307"
="",="(0.12)"

="L12treat_m4",="-0.00000261"
="",="(-0.73)"

="L12treat_m3",="-0.000000544"
="",="(-0.23)"

="L12treat_m2",="-0.00000833*"
="",="(-2.15)"

="L12treat_m1",="-0.0000520***"
="",="(-4.01)"

="L12treat_p0",="0.0000651***"
="",="(7.56)"

="L12treat_p1",="-0.000000897"
="",="(-0.16)"

="L12treat_p2",="-0.000000814"
="",="(-0.23)"

="L12treat_p3",="0.00000181"
="",="(0.78)"

="L12treat_p4",="0.00000152"
="",="(0.49)"

="L16treat_m4",="-0.00000518"
="",="(-1.88)"

="L16treat_m3",="-0.00000133"
="",="(-0.43)"

="L16treat_m2",="-0.00000678*"
="",="(-2.04)"

="L16treat_m1",="-0.0000269**"
="",="(-3.16)"

="L16treat_p0",="0.0000459***"
="",="(7.27)"

="L16treat_p1",="-0.00000148"
="",="(-0.27)"

="L16treat_p2",="-0.00000205"
="",="(-0.92)"

="L16treat_p3",="0.00000507"
="",="(1.81)"

="L16treat_p4",="-0.000000690"
="",="(-0.24)"

="one",="0"
="",="(.)"

="N",="554931"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
