
="",="(1)"
="",="ind_retail_overallcountpc"

="treat_m4",="-0.000000882"
="",="(-1.06)"

="treat_m3",="0.00000130"
="",="(0.89)"

="treat_m2",="-0.00000816*"
="",="(-2.03)"

="treat_m1",="-0.0000705***"
="",="(-9.74)"

="treat_p0",="0.0000714***"
="",="(10.78)"

="treat_p1",="0.0000152*"
="",="(2.47)"

="treat_p2",="0.00000117"
="",="(0.25)"

="treat_p3",="0.0000195***"
="",="(4.26)"

="treat_p4",="0.000000983"
="",="(0.24)"

="L4treat_m4",="-0.00000238"
="",="(-1.43)"

="L4treat_m3",="1.44e-08"
="",="(0.01)"

="L4treat_m2",="0.00000221"
="",="(0.27)"

="L4treat_m1",="-0.0000604***"
="",="(-8.02)"

="L4treat_p0",="0.0000452***"
="",="(4.97)"

="L4treat_p1",="0.00000935"
="",="(1.08)"

="L4treat_p2",="-0.00000541"
="",="(-1.06)"

="L4treat_p3",="0.0000124**"
="",="(3.05)"

="L4treat_p4",="-0.00000258"
="",="(-0.71)"

="L8treat_m4",="-0.00000162"
="",="(-0.73)"

="L8treat_m3",="0.00000140"
="",="(0.85)"

="L8treat_m2",="-0.000000540"
="",="(-0.11)"

="L8treat_m1",="-0.0000631***"
="",="(-7.40)"

="L8treat_p0",="0.0000528***"
="",="(5.85)"

="L8treat_p1",="0.00000237"
="",="(0.20)"

="L8treat_p2",="-0.00000454"
="",="(-0.76)"

="L8treat_p3",="0.00000799"
="",="(1.68)"

="L8treat_p4",="-0.00000298"
="",="(-0.56)"

="L12treat_m4",="-0.000000916"
="",="(-0.35)"

="L12treat_m3",="0.00000185"
="",="(0.86)"

="L12treat_m2",="-0.000000802"
="",="(-0.20)"

="L12treat_m1",="-0.0000588***"
="",="(-7.36)"

="L12treat_p0",="0.0000519***"
="",="(6.99)"

="L12treat_p1",="0.0000111"
="",="(1.09)"

="L12treat_p2",="0.00000827"
="",="(1.45)"

="L12treat_p3",="0.0000124*"
="",="(2.52)"

="L12treat_p4",="0.00000246"
="",="(0.45)"

="L16treat_m4",="-0.00000126"
="",="(-0.54)"

="L16treat_m3",="-0.000000757"
="",="(-0.48)"

="L16treat_m2",="-0.00000439"
="",="(-1.15)"

="L16treat_m1",="-0.0000329***"
="",="(-4.98)"

="L16treat_p0",="0.0000603***"
="",="(7.36)"

="L16treat_p1",="0.00000368"
="",="(0.40)"

="L16treat_p2",="0.00000153"
="",="(0.17)"

="L16treat_p3",="0.0000105*"
="",="(2.34)"

="L16treat_p4",="-0.00000712"
="",="(-1.88)"

="one",="0"
="",="(.)"

="N",="554931"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
